"EXP","BC","HM","indicateur","url"
"rcp45","MF-ADAMONT","C-TRIP","Debit-VCN3_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp45/Indicateurs_Debit-VCN3_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp45_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp45","MF-ADAMONT","C-TRIP","Debit-VCN3_Saisonnier","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp45/Indicateurs_Debit-VCN3_Saisonnier_EXPLORE2-2024_MF-ADAMONT_historical-rcp45_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp45","MF-ADAMONT","C-TRIP","Debit-VCX3_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp45/Indicateurs_Debit-VCX3_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp45_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp45","MF-ADAMONT","C-TRIP","Debit-tQJXA_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp45/Indicateurs_Debit-tQJXA_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp45_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp45","MF-ADAMONT","C-TRIP","Debit-tVCX3_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp45/Indicateurs_Debit-tVCX3_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp45_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp85","MF-ADAMONT","C-TRIP","Debit-Q05A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-Q05A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp85","MF-ADAMONT","C-TRIP","Debit-Q10A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-Q10A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp85","MF-ADAMONT","C-TRIP","Debit-Q50A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-Q50A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp85","MF-ADAMONT","C-TRIP","Debit-Q90A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-Q90A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp85","MF-ADAMONT","C-TRIP","Debit-Q95A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-Q95A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
